Date,Clics,Impressions,CTR,Position
2024-08-31,10,1426,0.7%,21.7
2024-09-01,15,1450,1.03%,22.7
2024-09-02,16,1627,0.98%,24.6
2024-09-03,18,1565,1.15%,25
2024-09-04,20,1657,1.21%,22.4
2024-09-05,19,1611,1.18%,22.4
2024-09-06,18,1629,1.1%,21.3
2024-09-07,14,1704,0.82%,21.7
2024-09-08,13,1895,0.69%,19
2024-09-09,17,1977,0.86%,20.7
2024-09-10,22,2418,0.91%,24.4
2024-09-11,23,1930,1.19%,24.8
2024-09-12,17,1757,0.97%,25.2
2024-09-13,15,2120,0.71%,26.2
2024-09-14,14,2381,0.59%,28.6
2024-09-15,12,1783,0.67%,29.1
2024-09-16,11,1857,0.59%,27.6
2024-09-17,11,1501,0.73%,27.8
2024-09-18,15,2117,0.71%,28.2
2024-09-19,21,1290,1.63%,25.4
2024-09-20,14,1195,1.17%,25.7
2024-09-21,12,1222,0.98%,23.4
2024-09-22,13,1356,0.96%,24.5
2024-09-23,15,1312,1.14%,27.3
2024-09-24,14,1480,0.95%,27.1
2024-09-25,13,1271,1.02%,23.9
2024-09-26,17,1258,1.35%,22.8
2024-09-27,12,1192,1.01%,24.5
2024-09-28,11,1119,0.98%,23.9
2024-09-29,17,1235,1.38%,24.3
2024-09-30,13,1261,1.03%,24
2024-10-01,7,1597,0.44%,31.5
2024-10-02,10,1289,0.78%,28.9
2024-10-03,4,1687,0.24%,33.5
2024-10-04,9,1281,0.7%,27.8
2024-10-05,11,1107,0.99%,29.3
2024-10-06,12,1265,0.95%,28.3
2024-10-07,12,1699,0.71%,34.6
2024-10-08,11,2168,0.51%,33.7
2024-10-09,8,1522,0.53%,31.3
2024-10-10,13,1145,1.14%,28
2024-10-11,16,1177,1.36%,26.6
2024-10-12,20,1169,1.71%,24.6
2024-10-13,9,1166,0.77%,27.9
2024-10-14,13,1323,0.98%,27.6
2024-10-15,13,1166,1.11%,29.3
2024-10-16,19,1181,1.61%,24.8
2024-10-17,10,1208,0.83%,24.1
2024-10-18,10,1246,0.8%,26.8
2024-10-19,13,1362,0.95%,29.4
2024-10-20,12,1297,0.93%,27.6
2024-10-21,18,1491,1.21%,27.6
2024-10-22,11,1173,0.94%,25.2
2024-10-23,27,1358,1.99%,24
2024-10-24,9,1217,0.74%,25.7
2024-10-25,12,1094,1.1%,23
2024-10-26,15,1125,1.33%,24.6
2024-10-27,13,1080,1.2%,23.9
2024-10-28,17,1203,1.41%,26.3
2024-10-29,17,1208,1.41%,25.3
2024-10-30,11,1113,0.99%,23.4
2024-10-31,11,1140,0.96%,24.9
2024-11-01,13,1302,1%,26.6
2024-11-02,18,1344,1.34%,26.1
2024-11-03,14,1517,0.92%,26.8
2024-11-04,18,1331,1.35%,26.4
2024-11-05,14,1201,1.17%,23.8
2024-11-06,19,1373,1.38%,25
2024-11-07,11,1827,0.6%,28.1
2024-11-08,9,1881,0.48%,31.8
2024-11-09,16,1909,0.84%,29.3
2024-11-10,14,1554,0.9%,24.6
2024-11-11,24,2211,1.09%,25.1
2024-11-12,24,1766,1.36%,26.7
2024-11-13,19,1954,0.97%,28.2
2024-11-14,12,1805,0.66%,27.4
2024-11-15,9,1382,0.65%,22.6
2024-11-16,18,1455,1.24%,24.5
2024-11-17,18,1453,1.24%,22.9
2024-11-18,23,1506,1.53%,23.1
2024-11-19,29,1557,1.86%,21.3
2024-11-20,21,1660,1.27%,21.7
2024-11-21,16,1324,1.21%,24.2
2024-11-22,16,1466,1.09%,24
2024-11-23,11,1677,0.66%,25.1
2024-11-24,21,1354,1.55%,22.1
2024-11-25,18,1512,1.19%,22.4
2024-11-26,16,1447,1.11%,24.6
2024-11-27,22,1395,1.58%,20.9
2024-11-28,17,1443,1.18%,21.2
2024-11-29,18,1489,1.21%,22.9
2024-11-30,22,1525,1.44%,23.3
2024-12-01,21,1849,1.14%,24.8
2024-12-02,10,1585,0.63%,23.3
2024-12-03,14,1676,0.84%,25
2024-12-04,16,1703,0.94%,26.4
2024-12-05,13,1604,0.81%,29
2024-12-06,17,1518,1.12%,25
2024-12-07,17,2091,0.81%,28.3
2024-12-08,11,2451,0.45%,32.7
2024-12-09,14,1312,1.07%,25.2
2024-12-10,15,1094,1.37%,25.6
2024-12-11,19,2816,0.67%,31.9
2024-12-12,12,1162,1.03%,25
2024-12-13,18,1372,1.31%,29.2
2024-12-14,12,1312,0.91%,28.1
2024-12-15,16,1424,1.12%,27.2
2024-12-16,16,1622,0.99%,29.3
2024-12-17,5,1414,0.35%,29.2
2024-12-18,17,1376,1.24%,27.2
2024-12-19,7,1525,0.46%,28.7
2024-12-20,11,1204,0.91%,28.7
2024-12-21,6,1181,0.51%,25.3
2024-12-22,13,1298,1%,26
2024-12-23,24,1586,1.51%,29.8
2024-12-24,15,1264,1.19%,26.7
2024-12-25,20,1328,1.51%,22.8
2024-12-26,8,1341,0.6%,22.4
2024-12-27,15,1300,1.15%,23.2
2024-12-28,19,1221,1.56%,23.6
2024-12-29,11,1331,0.83%,24.6
2024-12-30,17,1137,1.5%,25.9
2024-12-31,9,1073,0.84%,27.3
2025-01-01,17,1186,1.43%,26.1
2025-01-02,16,1383,1.16%,26
2025-01-03,17,1417,1.2%,28.1
2025-01-04,20,1570,1.27%,27.3
2025-01-05,11,1342,0.82%,25.8
2025-01-06,6,1282,0.47%,27.4
2025-01-07,12,1285,0.93%,24.6
2025-01-08,17,1669,1.02%,27.4
2025-01-09,13,2790,0.47%,31.9
2025-01-10,17,1612,1.05%,27.2
2025-01-11,17,2453,0.69%,31.4
2025-01-12,17,1762,0.96%,27.6
2025-01-13,18,1427,1.26%,24.6
2025-01-14,21,1360,1.54%,24.3
2025-01-15,14,1306,1.07%,22.6
2025-01-16,12,1597,0.75%,24.5
2025-01-17,12,1442,0.83%,26.6
2025-01-18,17,1733,0.98%,28.4
2025-01-19,20,1791,1.12%,28
2025-01-20,20,1708,1.17%,27.3
2025-01-21,16,1324,1.21%,23.3
2025-01-22,15,1167,1.29%,22.8
2025-01-23,10,1119,0.89%,23.3
2025-01-24,9,1596,0.56%,27.8
2025-01-25,17,1863,0.91%,26.2
2025-01-26,22,1321,1.67%,23.2
2025-01-27,13,1373,0.95%,25.5
2025-01-28,13,1505,0.86%,24.9
2025-01-29,11,1376,0.8%,24.1
2025-01-30,20,1306,1.53%,25.3
2025-01-31,17,1447,1.17%,28
2025-02-01,16,1569,1.02%,27.3
2025-02-02,9,1498,0.6%,27.5
2025-02-03,11,1629,0.68%,27.7
2025-02-04,12,1632,0.74%,28.8
2025-02-05,12,1695,0.71%,30.2
2025-02-06,13,1662,0.78%,29.1
2025-02-07,18,2166,0.83%,29.8
2025-02-08,14,2153,0.65%,31
2025-02-09,14,3015,0.46%,32.7
2025-02-10,9,1723,0.52%,29.5
2025-02-11,10,1841,0.54%,26.8
2025-02-12,13,1988,0.65%,24.6
2025-02-13,13,2068,0.63%,26.7
2025-02-14,19,2496,0.76%,31
2025-02-15,14,1944,0.72%,27.9
2025-02-16,18,2226,0.81%,25.1
2025-02-17,10,2956,0.34%,30.8
2025-02-18,15,2057,0.73%,27.9
2025-02-19,15,2195,0.68%,27.3
2025-02-20,13,1845,0.7%,27.5
2025-02-21,14,2052,0.68%,26.3
2025-02-22,11,2812,0.39%,27.4
2025-02-23,17,2269,0.75%,24.7
2025-02-24,9,2077,0.43%,26.6
2025-02-25,12,2126,0.56%,26.8
2025-02-26,9,2247,0.4%,26
2025-02-27,12,1938,0.62%,26.9
2025-02-28,10,2143,0.47%,32.4
2025-03-01,13,2787,0.47%,34.3
2025-03-02,13,1876,0.69%,31.2
2025-03-03,11,1870,0.59%,32.7
2025-03-04,13,1776,0.73%,32.9
2025-03-05,16,1887,0.85%,32.1
2025-03-06,10,1869,0.54%,32.4
2025-03-07,14,2788,0.5%,32.3
2025-03-08,15,1767,0.85%,32
2025-03-09,10,1560,0.64%,32.9
2025-03-10,13,2687,0.48%,36.3
2025-03-11,17,2481,0.69%,34
2025-03-12,13,2056,0.63%,30.4
2025-03-13,11,1590,0.69%,30.1
2025-03-14,12,1771,0.68%,30.4
2025-03-15,7,1540,0.45%,30.7
2025-03-16,8,1497,0.53%,31.5
2025-03-17,6,1492,0.4%,33
2025-03-18,9,1450,0.62%,32.5
2025-03-19,10,1370,0.73%,32.2
2025-03-20,4,1772,0.23%,34.8
2025-03-21,7,1475,0.47%,36
2025-03-22,6,1496,0.4%,35.9
2025-03-23,6,1320,0.45%,35.3
2025-03-24,13,1580,0.82%,35.2
2025-03-25,11,1689,0.65%,32
2025-03-26,6,1338,0.45%,30.9
2025-03-27,9,1180,0.76%,31.5
2025-03-28,4,1265,0.32%,30.9
2025-03-29,11,1183,0.93%,32.2
2025-03-30,11,1285,0.86%,31.5
2025-03-31,9,1468,0.61%,30.5
2025-04-01,7,1839,0.38%,34.9
2025-04-02,6,1304,0.46%,29.5
2025-04-03,6,1681,0.36%,32.6
2025-04-04,6,1217,0.49%,30.1
2025-04-05,4,1464,0.27%,33.4
2025-04-06,7,1207,0.58%,29.7
2025-04-07,9,1150,0.78%,29.3
2025-04-08,8,1206,0.66%,27.8
2025-04-09,3,2064,0.15%,32.5
2025-04-10,2,1120,0.18%,29.1
2025-04-11,11,1310,0.84%,31
2025-04-12,8,1902,0.42%,32.6
2025-04-13,14,1749,0.8%,34
2025-04-14,8,1535,0.52%,31.9
2025-04-15,6,1413,0.42%,31.8
2025-04-16,6,751,0.8%,29.5
2025-04-17,13,1757,0.74%,30.2
2025-04-18,6,1753,0.34%,33.1
2025-04-19,9,1772,0.51%,32.3
2025-04-20,5,1551,0.32%,32
2025-04-21,8,1514,0.53%,31.8
2025-04-22,4,1375,0.29%,29.8
2025-04-23,9,1807,0.5%,32.5
2025-04-24,5,1437,0.35%,30.7
2025-04-25,8,1326,0.6%,31
2025-04-26,6,1354,0.44%,30
2025-04-27,6,1332,0.45%,31.3
2025-04-28,5,1410,0.35%,31.4
2025-04-29,7,1361,0.51%,30.8
2025-04-30,10,1569,0.64%,30.2
2025-05-01,8,1628,0.49%,31.7
2025-05-02,8,1816,0.44%,33.1
2025-05-03,1,2113,0.05%,33.6
2025-05-04,3,2079,0.14%,33.5
2025-05-05,7,1805,0.39%,32.5
2025-05-06,9,1524,0.59%,30.7
2025-05-07,7,1595,0.44%,31.9
2025-05-08,5,1432,0.35%,31
2025-05-09,7,2261,0.31%,32.7
