Date,Clics,Impressions,CTR,Position
2024-08-31,184,8001,2.3%,18.4
2024-09-01,207,7308,2.83%,15.6
2024-09-02,212,7874,2.69%,15.6
2024-09-03,242,8364,2.89%,16.7
2024-09-04,207,8151,2.54%,16.4
2024-09-05,228,7843,2.91%,15.8
2024-09-06,199,7600,2.62%,15.3
2024-09-07,205,8161,2.51%,15.6
2024-09-08,204,8465,2.41%,16.3
2024-09-09,281,9475,2.97%,14.9
2024-09-10,294,10892,2.7%,16.9
2024-09-11,250,10786,2.32%,18.9
2024-09-12,216,10329,2.09%,19.3
2024-09-13,207,9828,2.11%,18.6
2024-09-14,258,9947,2.59%,21.2
2024-09-15,200,9746,2.05%,22.4
2024-09-16,246,10062,2.44%,22.4
2024-09-17,241,9438,2.55%,20
2024-09-18,224,9497,2.36%,19.2
2024-09-19,197,8880,2.22%,19.1
2024-09-20,214,9069,2.36%,18.9
2024-09-21,212,8623,2.46%,18.3
2024-09-22,197,8797,2.24%,18
2024-09-23,225,9454,2.38%,17.8
2024-09-24,202,9374,2.15%,18.4
2024-09-25,229,9145,2.5%,18.5
2024-09-26,202,8443,2.39%,18.7
2024-09-27,211,7888,2.67%,18.5
2024-09-28,200,7866,2.54%,19
2024-09-29,215,7737,2.78%,18.3
2024-09-30,217,8859,2.45%,20
2024-10-01,184,8287,2.22%,19.9
2024-10-02,190,8582,2.21%,19.9
2024-10-03,198,9385,2.11%,23.4
2024-10-04,154,7435,2.07%,20.5
2024-10-05,165,8167,2.02%,19.8
2024-10-06,196,8022,2.44%,19.7
2024-10-07,196,9856,1.99%,23.5
2024-10-08,188,9972,1.89%,23.2
2024-10-09,186,8545,2.18%,19.6
2024-10-10,169,8160,2.07%,20.3
2024-10-11,149,7463,2%,19.6
2024-10-12,147,7663,1.92%,20.3
2024-10-13,137,7319,1.87%,20
2024-10-14,178,8182,2.18%,18.9
2024-10-15,173,8133,2.13%,20.1
2024-10-16,192,8351,2.3%,18.9
2024-10-17,206,8521,2.42%,20.4
2024-10-18,158,8427,1.87%,21.3
2024-10-19,170,8849,1.92%,23.5
2024-10-20,176,7894,2.23%,21.4
2024-10-21,168,9197,1.83%,22
2024-10-22,172,8155,2.11%,20.7
2024-10-23,148,8044,1.84%,21.3
2024-10-24,183,8367,2.19%,20.4
2024-10-25,165,7672,2.15%,19.6
2024-10-26,154,7537,2.04%,19.5
2024-10-27,191,7722,2.47%,19
2024-10-28,202,8251,2.45%,19
2024-10-29,198,8068,2.45%,19.4
2024-10-30,186,7824,2.38%,18.7
2024-10-31,168,7867,2.14%,22.8
2024-11-01,185,7456,2.48%,20.4
2024-11-02,177,7822,2.26%,20.5
2024-11-03,189,7949,2.38%,21.1
2024-11-04,227,8462,2.68%,19.5
2024-11-05,189,8137,2.32%,19.9
2024-11-06,181,8540,2.12%,20.8
2024-11-07,201,8974,2.24%,22.7
2024-11-08,155,9715,1.6%,25.5
2024-11-09,193,10219,1.89%,24.3
2024-11-10,221,9150,2.42%,21.5
2024-11-11,220,10214,2.15%,21.5
2024-11-12,220,9730,2.26%,21.5
2024-11-13,204,9513,2.14%,20.7
2024-11-14,172,9084,1.89%,21.1
2024-11-15,190,8616,2.21%,20.7
2024-11-16,177,8749,2.02%,20.5
2024-11-17,216,8554,2.53%,20.2
2024-11-18,214,9161,2.34%,19.8
2024-11-19,225,10244,2.2%,21.8
2024-11-20,199,8981,2.22%,20.6
2024-11-21,197,9036,2.18%,21.5
2024-11-22,171,8348,2.05%,22.3
2024-11-23,205,9137,2.24%,22.9
2024-11-24,187,8028,2.33%,21
2024-11-25,228,9107,2.5%,20
2024-11-26,180,8989,2%,21.4
2024-11-27,215,8733,2.46%,19.7
2024-11-28,201,8415,2.39%,20.8
2024-11-29,183,8210,2.23%,20.6
2024-11-30,159,8754,1.82%,23.2
2024-12-01,220,8534,2.58%,19.7
2024-12-02,242,9032,2.68%,19.6
2024-12-03,160,8657,1.85%,21.3
2024-12-04,191,8652,2.21%,21.3
2024-12-05,171,8342,2.05%,22.8
2024-12-06,144,8938,1.61%,23.1
2024-12-07,173,9784,1.77%,23.7
2024-12-08,195,10859,1.8%,26.4
2024-12-09,205,8383,2.45%,20.6
2024-12-10,195,7914,2.46%,20.1
2024-12-11,181,9317,1.94%,23.3
2024-12-12,172,8329,2.07%,22.2
2024-12-13,175,7904,2.21%,22.1
2024-12-14,165,7404,2.23%,19.9
2024-12-15,206,8048,2.56%,20.3
2024-12-16,201,8892,2.26%,22
2024-12-17,198,9003,2.2%,22
2024-12-18,198,8228,2.41%,20.3
2024-12-19,193,8469,2.28%,21.6
2024-12-20,165,7759,2.13%,19.9
2024-12-21,164,7704,2.13%,18.6
2024-12-22,190,8252,2.3%,19.7
2024-12-23,199,9233,2.16%,20.9
2024-12-24,144,7833,1.84%,21.8
2024-12-25,210,8690,2.42%,19
2024-12-26,218,9626,2.26%,18.8
2024-12-27,230,9323,2.47%,19.2
2024-12-28,219,8732,2.51%,17.6
2024-12-29,194,8420,2.3%,19.4
2024-12-30,204,8665,2.35%,18.9
2024-12-31,134,7054,1.9%,22.2
2025-01-01,168,7799,2.15%,17.9
2025-01-02,241,9143,2.64%,17.5
2025-01-03,232,8950,2.59%,17.5
2025-01-04,200,8274,2.42%,18.4
2025-01-05,247,8116,3.04%,18.3
2025-01-06,219,9507,2.3%,19.4
2025-01-07,229,9000,2.54%,18.6
2025-01-08,215,8948,2.4%,18
2025-01-09,186,8415,2.21%,18.8
2025-01-10,181,9694,1.87%,19.2
2025-01-11,212,9672,2.19%,19.4
2025-01-12,196,7503,2.61%,16.9
2025-01-13,226,8014,2.82%,16
2025-01-14,207,7776,2.66%,16.4
2025-01-15,226,8293,2.73%,16.5
2025-01-16,202,6481,3.12%,13.4
2025-01-17,169,7032,2.4%,15.5
2025-01-18,190,7473,2.54%,15.8
2025-01-19,204,7376,2.77%,15.4
2025-01-20,192,7386,2.6%,14.6
2025-01-21,205,6754,3.04%,13
2025-01-22,236,7031,3.36%,13.1
2025-01-23,221,7092,3.12%,13.4
2025-01-24,177,7412,2.39%,15.4
2025-01-25,195,7770,2.51%,15.1
2025-01-26,236,7242,3.26%,13.9
2025-01-27,223,7625,2.92%,13
2025-01-28,225,7853,2.87%,13.6
2025-01-29,227,7562,3%,14.1
2025-01-30,187,7586,2.47%,15.2
2025-01-31,176,8494,2.07%,17.2
2025-02-01,168,8136,2.06%,15.3
2025-02-02,178,7333,2.43%,15.9
2025-02-03,199,7786,2.56%,16.4
2025-02-04,184,8936,2.06%,16.2
2025-02-05,198,7816,2.53%,16.7
2025-02-06,187,7720,2.42%,17.4
2025-02-07,161,7729,2.08%,18.6
2025-02-08,157,8286,1.89%,17.8
2025-02-09,170,7659,2.22%,16.4
2025-02-10,204,8194,2.49%,15.3
2025-02-11,176,7512,2.34%,16.1
2025-02-12,181,7734,2.34%,16.7
2025-02-13,161,7888,2.04%,19
2025-02-14,140,7414,1.89%,19.2
2025-02-15,146,7397,1.97%,17.4
2025-02-16,161,7097,2.27%,16
2025-02-17,160,8081,1.98%,18.9
2025-02-18,146,7434,1.96%,16.3
2025-02-19,158,7632,2.07%,16.5
2025-02-20,157,7539,2.08%,17.2
2025-02-21,158,7141,2.21%,17.5
2025-02-22,132,7969,1.66%,19.3
2025-02-23,149,7398,2.01%,18.2
2025-02-24,184,7679,2.4%,17.8
2025-02-25,162,7557,2.14%,18.2
2025-02-26,179,7968,2.25%,17.4
2025-02-27,144,8356,1.72%,18
2025-02-28,135,7721,1.75%,19.8
2025-03-01,141,7545,1.87%,21.7
2025-03-02,123,6557,1.88%,19.2
2025-03-03,159,7062,2.25%,18.5
2025-03-04,166,7153,2.32%,17.9
2025-03-05,160,6746,2.37%,18.4
2025-03-06,141,6963,2.02%,18.8
2025-03-07,138,7007,1.97%,18.8
2025-03-08,115,6812,1.69%,20.3
2025-03-09,129,6716,1.92%,18.6
2025-03-10,154,9729,1.58%,25.3
2025-03-11,127,7958,1.6%,20.1
2025-03-12,148,6914,2.14%,18.5
2025-03-13,161,8155,1.97%,18.6
