Pays,Clics,Impressions,CTR,Position
Belgique,15979,759914,2.1%,20.81
France,4688,245510,1.91%,14.23
Luxembourg,59,2063,2.86%,12.1
Espagne,53,9996,0.53%,35.17
Maroc,44,6784,0.65%,24.04
Pays-Bas,39,19045,0.2%,41.39
Allemagne,32,24843,0.13%,39.74
États-Unis,25,177710,0.01%,41.98
Réunion (Île de la),23,1471,1.56%,9.6
Canada,21,14476,0.15%,41.42
Guadeloupe,21,680,3.09%,9.41
Algérie,20,4148,0.48%,25.54
République démocratique du Congo,20,2910,0.69%,6.01
Côte d'Ivoire,20,2713,0.74%,11.66
Tunisie,18,3932,0.46%,23.23
Sénégal,17,2530,0.67%,14.73
Italie,16,11606,0.14%,39.17
Suisse,15,2968,0.51%,28.55
Portugal,13,1957,0.66%,29.96
Martinique,13,612,2.12%,9.04
Pakistan,12,7290,0.16%,39.31
Royaume-Uni,11,43204,0.03%,42.27
Thaïlande,8,2472,0.32%,36.74
Grèce,8,1775,0.45%,36.08
Bénin,8,786,1.02%,8.45
Pologne,7,3877,0.18%,42.96
Maurice (Île),7,368,1.9%,21.21
Guyane française,7,269,2.6%,11.05
Japon,6,3947,0.15%,41.9
Cameroun,6,1352,0.44%,11.37
Malaisie,5,6875,0.07%,43.34
Suède,5,2772,0.18%,42.86
Madagascar,5,609,0.82%,13.34
Roumanie,4,2589,0.15%,41.1
Mali,4,659,0.61%,10.51
Gabon,4,507,0.79%,18.16
Vietnam,3,16179,0.02%,43.57
Indonésie,3,6905,0.04%,42.11
Taïwan,3,5079,0.06%,45.92
Égypte,3,4615,0.07%,42.64
Australie,3,3064,0.1%,42.28
Irlande,3,3024,0.1%,39.42
Émirats Arabes Unis,3,2198,0.14%,38.51
Danemark,3,1121,0.27%,49.35
Burkina Faso,3,830,0.36%,16.92
Costa Rica,3,719,0.42%,37.79
Guinée,3,428,0.7%,7.38
Mayotte,3,101,2.97%,11.88
Djibouti,3,94,3.19%,11.24
Corée du Sud,2,23097,0.01%,46.19
Singapour,2,2455,0.08%,43.23
République Dominicaine,2,1472,0.14%,36.46
Oman,2,774,0.26%,38.75
Finlande,2,667,0.3%,42.94
Haïti,2,629,0.32%,5.75
Congo-Brazzaville,2,520,0.38%,15.68
Togo,2,519,0.39%,17.33
Croatie,2,401,0.5%,39.99
Chine,2,217,0.92%,36.51
Monaco,2,215,0.93%,24.12
Comores (Archipel),2,121,1.65%,5.64
Namibie,2,73,2.74%,35.16
Guinée-Bissau,2,17,11.76%,8
Brésil,1,121986,0%,36.72
Inde,1,27611,0%,43.57
Turquie,1,11064,0.01%,39.73
Mexique,1,7723,0.01%,39.94
Philippines,1,5612,0.02%,41.4
Colombie,1,3458,0.03%,39.21
Venezuela,1,3068,0.03%,38.07
Israël,1,2199,0.05%,38.76
Biélorussie,1,1379,0.07%,42.76
Azerbaïdjan,1,1087,0.09%,38.29
République tchèque,1,1056,0.09%,40.97
Norvège,1,1046,0.1%,40.77
Autriche,1,1010,0.1%,38.62
Hong-Kong,1,711,0.14%,43.17
Liban,1,429,0.23%,35.15
Sri Lanka,1,319,0.31%,39.67
Tchad,1,235,0.43%,8.51
Niger,1,186,0.54%,8.47
Nouvelle-Calédonie,1,145,0.69%,9.34
Surinam,1,137,0.73%,26.1
Islande,1,122,0.82%,35.02
Cap-Vert,1,115,0.87%,26.9
Rwanda,1,114,0.88%,33.57
Andorre,1,85,1.18%,28.55
