Pays,Clics,Impressions,CTR,Position
Belgique,1533,316140,0.48%,25.14
France,158,22188,0.71%,30.25
Maroc,88,4796,1.83%,18.61
Pays-Bas,47,8971,0.52%,34.45
Algérie,21,2241,0.94%,20.53
Tunisie,19,1975,0.96%,18.68
Cameroun,14,617,2.27%,7.57
Espagne,11,3151,0.35%,38.79
Italie,10,3502,0.29%,41.14
Bénin,10,463,2.16%,8.97
Sénégal,7,1005,0.7%,14.87
Madagascar,7,304,2.3%,11.06
République démocratique du Congo,6,608,0.99%,8.31
Luxembourg,6,525,1.14%,23.21
Côte d'Ivoire,5,872,0.57%,12.1
Mali,5,263,1.9%,11.75
Niger,5,193,2.59%,10.47
Allemagne,4,6969,0.06%,45.1
Turquie,3,3223,0.09%,38.75
Portugal,3,653,0.46%,40.75
Burkina Faso,3,340,0.88%,12.75
Slovénie,3,200,1.5%,25.72
Tchad,3,80,3.75%,28.35
Royaume-Uni,2,10408,0.02%,44.62
Inde,2,7675,0.03%,45.31
Suisse,2,1796,0.11%,28.23
Bulgarie,2,600,0.33%,37.49
Serbie,2,385,0.52%,35.56
Congo-Brazzaville,2,333,0.6%,11.7
Togo,2,317,0.63%,10.6
Nigéria,2,301,0.66%,30.21
Gabon,2,247,0.81%,21.52
Réunion (Île de la),2,85,2.35%,15.11
Mauritanie,2,54,3.7%,13.33
Brésil,1,75573,0%,34.22
États-Unis,1,45151,0%,46.93
Argentine,1,6110,0.02%,35.11
Canada,1,5363,0.02%,46.61
Colombie,1,2210,0.05%,36.63
Ukraine,1,2197,0.05%,41.05
Ouzbékistan,1,920,0.11%,37.53
Suède,1,869,0.12%,43.89
Hongrie,1,729,0.14%,26.39
Haïti,1,623,0.16%,8.49
Bolivie,1,507,0.2%,31.78
Jamaïque,1,454,0.22%,38.44
Autriche,1,444,0.23%,38.23
Finlande,1,251,0.4%,40.53
Croatie,1,173,0.58%,36.79
Libye,1,87,1.15%,19.64
Guinée,1,72,1.39%,7.9
Chine,1,68,1.47%,37.24
Guadeloupe,1,42,2.38%,17.83
Martinique,1,35,2.86%,18.54
Burundi,1,34,2.94%,16.38
Mayotte,1,4,25%,56.25
Russie,0,9062,0%,45.45
Vietnam,0,5558,0%,46.07
Corée du Sud,0,5036,0%,51.72
Mexique,0,4826,0%,36.54
Équateur,0,3089,0%,35.52
Afrique du Sud,0,2159,0%,38.09
Indonésie,0,2157,0%,42.04
Venezuela,0,1873,0%,34.61
Bangladesh,0,1782,0%,39.25
Arabie Saoudite,0,1684,0%,44.48
Philippines,0,1635,0%,41.8
Égypte,0,1555,0%,43.51
Pakistan,0,1506,0%,35.68
Pologne,0,1495,0%,44.45
Irak,0,1416,0%,40.29
Malaisie,0,1326,0%,46.24
Chili,0,1314,0%,35.94
Japon,0,1296,0%,46.69
Taïwan,0,1200,0%,49.73
Pérou,0,1194,0%,36.54
Uruguay,0,1110,0%,32.83
Paraguay,0,1109,0%,33.69
Australie,0,1056,0%,45.88
Roumanie,0,988,0%,45.47
Émirats Arabes Unis,0,867,0%,36.36
Singapour,0,796,0%,45.84
Irlande,0,772,0%,44.33
République Dominicaine,0,716,0%,36.66
Israël,0,673,0%,40.12
Lituanie,0,670,0%,46.92
Jordanie,0,665,0%,39.77
Kazakhstan,0,662,0%,39.13
Région inconnue,0,613,0%,40.16
Grèce,0,610,0%,39.09
Thaïlande,0,566,0%,43.1
Kenya,0,519,0%,36.12
Norvège,0,497,0%,38.86
Biélorussie,0,494,0%,42.8
Népal,0,489,0%,43.18
Azerbaïdjan,0,473,0%,36.05
Iran,0,460,0%,40.88
Panama,0,428,0%,32.93
Costa Rica,0,408,0%,31.82
Trinité-et-Tobago,0,400,0%,44.26
Danemark,0,394,0%,38.82
République tchèque,0,383,0%,41.13
Slovaquie,0,360,0%,22.13
Albanie,0,318,0%,34.84
Honduras,0,307,0%,36.3
Oman,0,301,0%,39.73
Guatemala,0,299,0%,32.19
Palestine,0,272,0%,36.95
Liban,0,250,0%,24.56
Bosnie-Herzégovine,0,249,0%,36.36
Hong-Kong,0,246,0%,44.72
Géorgie,0,245,0%,40.31
Kirghizistan,0,241,0%,35.31
Koweït,0,237,0%,38.32
Barbade (La),0,225,0%,47.52
Bahreïn,0,220,0%,41.13
Lettonie,0,217,0%,45.58
Nicaragua,0,215,0%,31.39
Moldavie,0,210,0%,38.77
El Salvador,0,202,0%,33.96
Nouvelle-Zélande,0,196,0%,41.07
Chypre,0,189,0%,44.74
Qatar,0,185,0%,34.06
Syrie,0,184,0%,37.21
Arménie,0,160,0%,37.48
Angola,0,155,0%,40.92
Éthiopie,0,150,0%,43.73
Cambodge,0,147,0%,41.94
Macédoine,0,134,0%,37.87
Bahamas,0,122,0%,43.84
Sri Lanka,0,120,0%,36.12
Myanmar (Birmanie),0,103,0%,41.75
Ghana,0,97,0%,39.32
Brunei,0,93,0%,36.17
Porto Rico,0,88,0%,39.48
Tanzanie,0,86,0%,28.72
Mongolie,0,79,0%,42.44
Rwanda,0,74,0%,37.72
Ouganda,0,71,0%,31.15
Guyane,0,70,0%,42.57
Estonie,0,69,0%,41.42
Maurice (Île),0,66,0%,31.21
Surinam,0,61,0%,38.87
Belize,0,55,0%,49.91
Seychelles,0,52,0%,50.08
Kosovo,0,49,0%,37.92
Malte,0,45,0%,34.29
Botswana,0,38,0%,38.92
Sainte-Lucie,0,37,0%,52.08
Zambie,0,35,0%,36.66
Aruba,0,34,0%,30.35
Caïmans (Îles),0,32,0%,43.72
Zimbabwe,0,31,0%,40.48
Mozambique,0,30,0%,28.17
Grenade,0,30,0%,35.1
Saint-Christophe-et-Niévès,0,29,0%,47.93
Cap-Vert,0,28,0%,36.57
Djibouti,0,27,0%,14
Laos,0,26,0%,32.77
Islande,0,25,0%,35.52
Yémen,0,25,0%,36.2
Comores (Archipel),0,22,0%,5.95
Sahara oriental,0,22,0%,20.5
Bermudes,0,22,0%,48.82
République Centrafricaine,0,21,0%,3.38
Malawi,0,21,0%,29.67
Andorre,0,21,0%,36.62
Saint-Vincent-et-les-Grenadines,0,21,0%,39.57
Somalie,0,21,0%,46.1
Monténégro,0,21,0%,48.43
Cuba,0,19,0%,23.47
Monaco,0,19,0%,39.84
Namibie,0,18,0%,42
Afghanistan,0,17,0%,19.47
Îles Vierges britanniques,0,17,0%,40.41
Îles Turks-et-Caïcos,0,17,0%,44.24
Antigua-et-Barbuda,0,16,0%,42.62
Curaçao,0,16,0%,50.12
